(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal)) --> (buy(42)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal)) --> (buy(61)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal)) --> (buy(66)), {C=0.0008522424629807181, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal)) --> (buy(202)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal)) --> (buy(213)), {C=0.0006391818472355385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal)) --> (buy(358)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal)) --> (buy(376)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal)) --> (buy(388)), {C=0.0006391818472355385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal)) --> (buy(412)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal)) --> (buy(415)), {C=0.0006391818472355385, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal)) --> (buy(417)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal)) --> (buy(482)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal)) --> (buy(509)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal)) --> (buy(519)), {C=0.0005326515393629488, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Normal)) --> (buy(556)), {C=0.0005326515393629488, S=0.00048633401420095323}
