(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(972)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1050)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1092)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1129)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1446)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1532)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(972)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1050)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1092)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1129)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1446)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1532)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(972)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1050)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1092)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1129)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1446)), {C=0.0006724045185583648, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1532)), {C=0.0006724045185583648, S=0.00048633401420095323}
