(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(161)), {C=0.0005980861244019139, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(358)), {C=0.0004984051036682616, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(372)), {C=0.0004984051036682616, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(467)), {C=0.0004984051036682616, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(574)), {C=0.0005980861244019139, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(600)), {C=0.0004984051036682616, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(674)), {C=0.0004984051036682616, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(690)), {C=0.0004984051036682616, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(747)), {C=0.0005980861244019139, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(849)), {C=0.0005980861244019139, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(895)), {C=0.0004984051036682616, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(970)), {C=0.0006977671451355662, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1007)), {C=0.0004984051036682616, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1097)), {C=0.0004984051036682616, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1152)), {C=0.0004984051036682616, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1199)), {C=0.0004984051036682616, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1296)), {C=0.0005980861244019139, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1363)), {C=0.0004984051036682616, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(1552)), {C=0.0004984051036682616, S=0.00048633401420095323}
