(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(137)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(142)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(211)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(284)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(323)), {C=0.0007090522335145355, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(345)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(371)), {C=0.0007090522335145355, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(384)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(400)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(428)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(455)), {C=0.0007090522335145355, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(468)), {C=0.0008272276057669581, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(472)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(497)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(520)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(593)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(603)), {C=0.0007090522335145355, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(605)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(609)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(614)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(617)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(662)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(689)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(823)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(832)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(886)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(930)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(952)), {C=0.0008272276057669581, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(956)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1139)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1182)), {C=0.0007090522335145355, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1255)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1272)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1336)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1368)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1403)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1411)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1454)), {C=0.0007090522335145355, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1482)), {C=0.000590876861262113, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1503)), {C=0.001181753722524226, S=0.0009726680284019065}
(gender(Female))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1534)), {C=0.000590876861262113, S=0.00048633401420095323}
