(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(4)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(11)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(13)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(26)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(46)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(50)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(57)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(58)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(61)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(62)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(70)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(75)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(76)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(81)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(88)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(89)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(90)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(97)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(121)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(124)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(132)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(146)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(152)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(158)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(161)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(162)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(166)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(173)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(174)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(200)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(206)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(243)), {C=0.0006808896958692692, S=0.0005836008170411438}
