(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(4)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(27)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(30)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(31)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(32)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(34)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(37)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(39)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(42)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(43)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(57)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(58)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(59)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(70)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(76)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(77)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(88)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(89)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(90)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(95)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(102)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(103)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(112)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(115)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(126)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(127)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(136)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(137)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(138)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(145)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(153)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(154)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(180)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(195)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(199)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(200)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(210)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(212)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(223)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(227)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(239)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(248)), {C=0.0005863039399624766, S=0.00048633401420095323}
