(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(10)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(40)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(41)), {C=0.001190273762965482, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(85)), {C=0.001020234653970413, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(110)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(174)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(178)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(181)), {C=0.001190273762965482, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(196)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(256)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(281)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(344)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(345)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(353)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(362)), {C=0.001020234653970413, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(382)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(384)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(386)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(403)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(418)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(431)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(501)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(505)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(530)), {C=0.0008501955449753444, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(532)), {C=0.001020234653970413, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(N)) --> (buy(542)), {C=0.001020234653970413, S=0.0005836008170411438}
