(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(18)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(24)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(41)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(63)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(72)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(76)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(90)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(112)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(115)), {C=0.0009074410163339383, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(129)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(132)), {C=0.0009074410163339383, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(137)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(138)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(267)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(285)), {C=0.0010370754472387867, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(288)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(307)), {C=0.0010370754472387867, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(331)), {C=0.0007778065854290899, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(335)), {C=0.0006481721545242416, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(337)), {C=0.0009074410163339383, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(Partial College))(house_owner(Y)) --> (buy(354)), {C=0.0006481721545242416, S=0.00048633401420095323}
