(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(3)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(5)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(17)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(21)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(32)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(73)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(83)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(84)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(86)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(87)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(130)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(137)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(142)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(165)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(170)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(172)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(173)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(178)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(185)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(186)), {C=0.0009411272613196696, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(202)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(206)), {C=0.0008365575656174842, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(214)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(223)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(227)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(232)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(233)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(248)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(250)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(254)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(263)), {C=0.0005228484785109276, S=0.00048633401420095323}
