(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(37)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(43)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(180)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(187)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(337)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(341)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(374)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(390)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(588)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(590)), {C=0.0008968609865470852, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(634)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(790)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(827)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(881)), {C=0.0008968609865470852, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(909)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1185)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1196)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1219)), {C=0.0007687379884689302, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1220)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1267)), {C=0.0007687379884689302, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1278)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1459)), {C=0.0006406149903907752, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1462)), {C=0.0007687379884689302, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1530)), {C=0.0006406149903907752, S=0.00048633401420095323}
