(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(12)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(22)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(365)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(519)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(535)), {C=0.0006095083299471758, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(597)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(617)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(627)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(634)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(675)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(717)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(909)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(924)), {C=0.0006095083299471758, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1016)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1063)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1162)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1266)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1466)), {C=0.0008126777732629013, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1469)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1483)), {C=0.0005079236082893133, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1555)), {C=0.0005079236082893133, S=0.00048633401420095323}
