(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(6)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(7)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(11)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(12)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(13)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(18)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(19)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(20)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(21)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(23)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(24)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(26)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(29)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(30)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(37)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(38)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(40)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(43)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(44)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(45)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(47)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(48)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(51)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(53)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(59)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(61)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(62)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(63)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(64)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(66)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(67)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(70)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(71)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(75)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(76)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(80)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(81)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(83)), {C=0.0012338754907459339, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(86)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(89)), {C=0.0012338754907459339, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(94)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(96)), {C=0.0006730229949523275, S=0.0005836008170411438}
