(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(7)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(12)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(21)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(27)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(34)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(50)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(59)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(61)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(66)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(70)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(75)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(93)), {C=0.0012492192379762648, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(95)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(116)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(119)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(126)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(128)), {C=0.0014574224443056423, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(141)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(169)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(202)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(213)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(233)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(241)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(282)), {C=0.0010410160316468874, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(318)), {C=0.0010410160316468874, S=0.00048633401420095323}
