(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(123)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(176)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(206)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(211)), {C=0.0013123359580052493, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(428)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(442)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(443)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(455)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(463)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(599)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(908)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(956)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(965)), {C=0.0013123359580052493, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(979)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1041)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1210)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1230)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1298)), {C=0.0013123359580052493, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1411)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1433)), {C=0.0013123359580052493, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1441)), {C=0.0010936132983377078, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1503)), {C=0.0013123359580052493, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(1553)), {C=0.0010936132983377078, S=0.00048633401420095323}
