(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(47)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(72)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(115)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(122)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(127)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(146)), {C=0.0007394105841343613, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(164)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(211)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(260)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(287)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(342)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(354)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(384)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(386)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(404)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(426)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(588)), {C=0.0007394105841343613, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(605)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(622)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(633)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(645)), {C=0.0007394105841343613, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(663)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(703)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(768)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(813)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(866)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(891)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(909)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(956)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1034)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1045)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1088)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1146)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1267)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1276)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1278)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1347)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1377)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1396)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1401)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1456)), {C=0.0007394105841343613, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1460)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1489)), {C=0.0005281504172388297, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1521)), {C=0.0006337805006865955, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Partial High School)) --> (buy(1531)), {C=0.0005281504172388297, S=0.00048633401420095323}
