(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(80)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(107)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(178)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(216)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(322)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(339)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(349)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(376)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(424)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(428)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(463)), {C=0.0006388415672913117, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(466)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(473)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(495)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(522)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(569)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(593)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(594)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(599)), {C=0.0005323679727427599, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(628)), {C=0.0005323679727427599, S=0.00048633401420095323}
