(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(28)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(66)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(70)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(116)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(194)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(213)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(241)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(349)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(358)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(376)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(382)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(388)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(389)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(404)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(412)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(414)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(415)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(417)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(474)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(477)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(482)), {C=0.000949868073878628, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(519)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(523)), {C=0.0005277044854881267, S=0.00048633401420095323}
