(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(12)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(21)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(22)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(31)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(35)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(41)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(50)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(59)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(95)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(107)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(108)), {C=0.001014455997971088, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(115)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(123)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(126)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(163)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(176)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(180)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(185)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(201)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(202)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(212)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(269)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(274)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(283)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(285)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(292)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(293)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(302)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(333)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(343)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(346)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(347)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(351)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(356)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(359)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(368)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(375)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(384)), {C=0.0008876489982247019, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(386)), {C=0.0006340349987319301, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(395)), {C=0.0007608419984783159, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N)) --> (buy(400)), {C=0.0008876489982247019, S=0.0006808676198813345}
