(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(2)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(24)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(30)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(31)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(33)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(36)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(38)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(39)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(43)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(47)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(52)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(62)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(69)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(72)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(74)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(78)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(80)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(85)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(86)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(88)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(89)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(90)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(91)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(102)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(105)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(106)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(114)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(119)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(120)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(130)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(133)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(134)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(135)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(137)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(138)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(139)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(141)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(146)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(147)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(148)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(149)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(164)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(168)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(178)), {C=0.0005731315910132967, S=0.00048633401420095323}
