(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(11)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(38)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(47)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(67)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(76)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(89)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(110)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(113)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(132)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(146)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(150)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(154)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(162)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(195)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(205)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(224)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(249)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(252)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(322)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(340)), {C=0.0008976660682226211, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(349)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(351)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(362)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(372)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(379)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(384)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(385)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(404)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(413)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(426)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(428)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(433)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(439)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(443)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(466)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(484)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(492)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(495)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(516)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(522)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(550)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(551)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(572)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(577)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(590)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(591)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(599)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(644)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(663)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(703)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(779)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(793)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(808)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(813)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(814)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(820)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(821)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(849)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(852)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(860)), {C=0.0008976660682226211, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(866)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(875)), {C=0.0008976660682226211, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(878)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(895)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(898)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(904)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(911)), {C=0.0007694280584765324, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(935)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(936)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(937)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(952)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(956)), {C=0.0008976660682226211, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(966)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(978)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1018)), {C=0.0006411900487304438, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(N)) --> (buy(1044)), {C=0.0007694280584765324, S=0.0005836008170411438}
