(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(4)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(6)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(12)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(16)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(17)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(23)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(26)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(29)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(33)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(34)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(39)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(53)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(56)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(66)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(67)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(70)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(76)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(83)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(86)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(89)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(94)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(95)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(96)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(97)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(98)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(103)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(109)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(111)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(116)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(119)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(121)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(124)), {C=0.0005737893045673629, S=0.00048633401420095323}
