(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(4)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(6)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(7)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(11)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(14)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(18)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(20)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(22)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(23)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(37)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(43)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(44)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(47)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(48)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(50)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(51)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(56)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(60)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(61)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(66)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(67)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(71)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(75)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(79)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(84)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(86)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(90)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(97)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(100)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(106)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(108)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(110)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(116)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(117)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(120)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(125)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(128)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(135)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(137)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(143)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(160)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(168)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(169)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(171)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(179)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(187)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(191)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(194)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(201)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(202)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(203)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(204)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(205)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(207)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(222)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(228)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(230)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(234)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(237)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(240)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(253)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(254)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(264)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(265)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(267)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(270)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(271)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(276)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(277)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(282)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(284)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(286)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(295)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(299)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(303)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(311)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(315)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(317)), {C=0.0013025458851391356, S=0.001069934831242097}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(318)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(319)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(320)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(322)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(324)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(327)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(331)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(334)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(336)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(337)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(341)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(343)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(350)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(353)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(358)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(360)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(363)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(365)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(372)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(380)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(383)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(385)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(387)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(388)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(389)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(392)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(393)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(394)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(397)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(400)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(403)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(404)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(406)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(407)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(408)), {C=0.0005920663114268799, S=0.00048633401420095323}
