(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(16)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(18)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(153)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(275)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(305)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(307)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(337)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(374)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(407)), {C=0.0007573844988639232, S=0.0005836008170411438}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(417)), {C=0.0007573844988639232, S=0.0005836008170411438}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(429)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(512)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(645)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(659)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(660)), {C=0.0007573844988639232, S=0.0005836008170411438}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(710)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(868)), {C=0.0008836152486745772, S=0.0006808676198813345}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(909)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(915)), {C=0.0007573844988639232, S=0.0005836008170411438}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(916)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(969)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(1154)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(1164)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(1190)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(1260)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(1335)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(1337)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(1399)), {C=0.0006311537490532695, S=0.00048633401420095323}
(gender(Female))(education(Partial College))(marital_status(M)) --> (buy(1423)), {C=0.0006311537490532695, S=0.00048633401420095323}
