(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(2)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(3)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(4)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(5)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(7)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(8)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(11)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(12)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(15)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(16)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(17)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(21)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(23)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(24)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(25)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(26)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(27)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(28)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(29)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(32)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(35)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(37)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(40)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(43)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(44)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(48)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(50)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(52)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(53)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(57)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(58)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(62)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(64)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(68)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(72)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(73)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(75)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(76)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(78)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(79)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(81)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(85)), {C=0.0010238907849829352, S=0.0008754012255617158}
