(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(12)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(13)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(24)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(35)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(38)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(39)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(43)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(52)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(60)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(62)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(63)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(67)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(75)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(81)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(82)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(84)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(88)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(90)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(104)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(107)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(109)), {C=0.000616827041697508, S=0.00048633401420095323}
