(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(2)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(3)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(4)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(5)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(10)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(12)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(13)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(17)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(21)), {C=0.0012561379467854288, S=0.001069934831242097}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(24)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(27)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(28)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(29)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(32)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(34)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(36)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(42)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(43)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(45)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(48)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(49)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(53)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(54)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(59)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(61)), {C=0.0007993605115907274, S=0.0006808676198813345}
